%time,field.data
1472519373966123104,0.0
1472519373966397047,0.0
1472519373967262029,0.0
1472519373967612028,0.0
1472519373967823982,0.0
1472519373967886924,0.0
1472519373968002080,0.0
1472519373968950986,0.0
1472519373969332933,0.0
1472519373969551086,0.0
1472519373969625949,0.0
1472519373969670057,0.0
1472519373969706058,0.0
1472519373969743967,0.0
1472519373969779968,0.0
1472519373969813108,0.0
1472519373969847917,0.0
1472519373969892024,0.0
1472519373970253944,0.0
1472519373970386028,0.0
1472519373970488071,0.0
1472519373970535993,0.0
1472519373970623016,0.0
1472519373970851898,0.0
1472519373970907926,0.0
1472519373970964908,0.0
1472519373971002101,0.0
1472519373971038103,0.0
1472519373971071958,0.0
1472519373971105098,0.0
1472519373971138000,0.0
1472519373971170902,0.0
1472519373971205949,0.0
1472519373971240997,0.0
1472519373971276044,0.0
1472519373971309900,0.0
1472519373971344947,0.0
1472519373971380949,0.0
1472519373971415042,0.0
1472519373971457004,0.0
1472519373971494913,0.0
1472519373971602916,0.0
1472519373971652984,0.0
1472519373971689939,0.0
1472519373971724033,0.0
1472519373971757888,0.0
1472519373971791028,0.0
1472519373971823930,0.0
1472519373971858978,0.0
1472519373971892118,0.0
1472519373971925020,0.0
1472519373971959114,0.0
1472519373971991062,0.0
1472519373972023963,0.0
1472519373972055912,0.0
1472519373972089052,0.0
1472519373972121000,0.0
1472519373972152948,0.0
1472519373972186088,0.0
1472519373972218990,0.0
1472519373972250938,0.0
1472519373972285985,0.0
1472519373972318887,0.0
1472519373972351074,0.0
1472519373972385883,0.0
1472519373972420930,0.0
1472519373972461938,0.0
1472519373972549915,0.0
1472519373972590923,0.0
1472519373972624063,0.0
1472519373972655057,0.0
1472519373972686052,0.0
1472519373972721099,0.0
1472519373972753047,0.0
1472519373972784042,0.0
1472519373972815990,0.0
1472519373972846984,0.0
1472519373972881078,0.0
1472519373972915887,0.0
1472519373972945928,0.0
1472519373972976922,0.0
1472519373973007917,0.0
1472519373973037958,0.0
